id,label,parent,value
Vulnerabile_Anatidae_Gobbo rugginoso,Gobbo rugginoso,Vulnerabile_Anatidae,5
"Vulnerabile_Anatidae_Gobbo rugginoso_Oxyura leucocephala (Scopoli, 1769)","Oxyura leucocephala (Scopoli, 1769)",Vulnerabile_Anatidae_Gobbo rugginoso,5
Vulnerabile_Anatidae_Moretta tabaccata,Moretta tabaccata,Vulnerabile_Anatidae,4
"Vulnerabile_Anatidae_Moretta tabaccata_Aythya nyroca (Güldenstädt, 1770)","Aythya nyroca (Güldenstädt, 1770)",Vulnerabile_Anatidae_Moretta tabaccata,4
Vulnerabile_Astacidae,Astacidae,Vulnerabile_,5
Vulnerabile_Astacidae_Astice,Astice,Vulnerabile_Astacidae,2
"Vulnerabile_Astacidae_Astice_Astacus astacus (Linnaeus, 1758)","Astacus astacus (Linnaeus, 1758)",Vulnerabile_Astacidae_Astice,2
Vulnerabile_Astacidae_Gambero di fiume,Gambero di fiume,Vulnerabile_Astacidae,3
"Vulnerabile_Astacidae_Gambero di fiume_Austropotamobius pallipes (Lereboullet, 1858)","Austropotamobius pallipes (Lereboullet, 1858)",Vulnerabile_Astacidae_Gambero di fiume,3
Vulnerabile_Bovidae,Bovidae,Vulnerabile_,4
Vulnerabile_Bovidae_Muflone,Muflone,Vulnerabile_Bovidae,0
"Vulnerabile_Bovidae_Muflone_Ovis orientalis Gmelin, 1774","Ovis orientalis Gmelin, 1774",Vulnerabile_Bovidae_Muflone,0
Vulnerabile_Bovidae_Muflone sardo,Muflone sardo,Vulnerabile_Bovidae,4
Vulnerabile_Bovidae_Muflone sardo_Ovis orientalis musimon,Ovis orientalis musimon,Vulnerabile_Bovidae_Muflone sardo,4
Vulnerabile_Coenagrionidae,Coenagrionidae,Vulnerabile_,2
Vulnerabile_Coenagrionidae_Agrion di Mercurio,Agrion di Mercurio,Vulnerabile_Coenagrionidae,2
"Vulnerabile_Coenagrionidae_Agrion di Mercurio_Coenagrion mercuriale (Charpentier, 1840)","Coenagrion mercuriale (Charpentier, 1840)",Vulnerabile_Coenagrionidae_Agrion di Mercurio,2
Vulnerabile_Cyprinidae,Cyprinidae,Vulnerabile_,3
Vulnerabile_Cyprinidae_Alborella meridionale,Alborella meridionale,Vulnerabile_Cyprinidae,3
"Vulnerabile_Cyprinidae_Alborella meridionale_Alburnus albidus (Costa, 1838)","Alburnus albidus (Costa, 1838)",Vulnerabile_Cyprinidae_Alborella meridionale,3
Vulnerabile_Falconidae,Falconidae,Vulnerabile_,5
Vulnerabile_Falconidae_Grillaio,Grillaio,Vulnerabile_Falconidae,5
"Vulnerabile_Falconidae_Grillaio_Falco naumanni Fleischer, 1818","Falco naumanni Fleischer, 1818",Vulnerabile_Falconidae_Grillaio,5
Vulnerabile_Gekkonidae,Gekkonidae,Vulnerabile_,6
Vulnerabile_Gekkonidae_Tarantolino,Tarantolino,Vulnerabile_Gekkonidae,6
"Vulnerabile_Gekkonidae_Tarantolino_Euleptes europaea (Gené, 1838)","Euleptes europaea (Gené, 1838)",Vulnerabile_Gekkonidae_Tarantolino,3
"Vulnerabile_Gekkonidae_Tarantolino_Phyllodactylus europaeus Gené, 1830","Phyllodactylus europaeus Gené, 1830",Vulnerabile_Gekkonidae_Tarantolino,3
Vulnerabile_Gobiidae,Gobiidae,Vulnerabile_,3
Vulnerabile_Gobiidae_Ghiozzo di ruscello,Ghiozzo di ruscello,Vulnerabile_Gobiidae,3
"Vulnerabile_Gobiidae_Ghiozzo di ruscello_Gobius nigricans Canestrini, 1867","Gobius nigricans Canestrini, 1867",Vulnerabile_Gobiidae_Ghiozzo di ruscello,1
"Vulnerabile_Gobiidae_Ghiozzo di ruscello_Padogobius nigricans (Canestrini, 1867)","Padogobius nigricans (Canestrini, 1867)",Vulnerabile_Gobiidae_Ghiozzo di ruscello,2
Vulnerabile_Lamnidae,Lamnidae,Vulnerabile_,2
Vulnerabile_Lamnidae_Squalo bianco,Squalo bianco,Vulnerabile_Lamnidae,1
"Vulnerabile_Lamnidae_Squalo bianco_Carcharodon carcharis (Linnaeus, 1758)","Carcharodon carcharis (Linnaeus, 1758)",Vulnerabile_Lamnidae_Squalo bianco,1
Vulnerabile_Lamnidae_Squalo elefante,Squalo elefante,Vulnerabile_Lamnidae,1
"Vulnerabile_Lamnidae_Squalo elefante_Cetorhinus maximus (Gunnerus, 1765)","Cetorhinus maximus (Gunnerus, 1765)",Vulnerabile_Lamnidae_Squalo elefante,1
Vulnerabile_Mobulidae,Mobulidae,Vulnerabile_,1
Vulnerabile_Mobulidae_Diavolo di mare,Diavolo di mare,Vulnerabile_Mobulidae,1
"Vulnerabile_Mobulidae_Diavolo di mare_Mobula mobular (Bonnaterre,1788)","Mobula mobular (Bonnaterre,1788)",Vulnerabile_Mobulidae_Diavolo di mare,1
Vulnerabile_Myoxidae,Myoxidae,Vulnerabile_,2
Vulnerabile_Myoxidae_Quercino,Quercino,Vulnerabile_Myoxidae,2
"Vulnerabile_Myoxidae_Quercino_Eliomys quercinus (Linnaeus, 1766) ","Eliomys quercinus (Linnaeus, 1766) ",Vulnerabile_Myoxidae_Quercino,2
Vulnerabile_Physeteridae,Physeteridae,Vulnerabile_,4
Vulnerabile_Physeteridae_Capodoglio,Capodoglio,Vulnerabile_Physeteridae,4
"Vulnerabile_Physeteridae_Capodoglio_Physeter catodon Linnaeus, 1758  ","Physeter catodon Linnaeus, 1758  ",Vulnerabile_Physeteridae_Capodoglio,4
Vulnerabile_Proteidae,Proteidae,Vulnerabile_,3
Vulnerabile_Proteidae_Proteo,Proteo,Vulnerabile_Proteidae,3
"Vulnerabile_Proteidae_Proteo_Proteus anguinus Laurenti, 1768","Proteus anguinus Laurenti, 1768",Vulnerabile_Proteidae_Proteo,3
Vulnerabile_Rallidae,Rallidae,Vulnerabile_,4
Vulnerabile_Rallidae_Re di quaglie,Re di quaglie,Vulnerabile_Rallidae,4
"Vulnerabile_Rallidae_Re di quaglie_Crex crex (Linnaeus, 1758)","Crex crex (Linnaeus, 1758)",Vulnerabile_Rallidae_Re di quaglie,4
Vulnerabile_Rhinolophidae,Rhinolophidae,Vulnerabile_,15
Vulnerabile_Rhinolophidae_Ferro di cavallo di Mehely,Ferro di cavallo di Mehely,Vulnerabile_Rhinolophidae,5
"Vulnerabile_Rhinolophidae_Ferro di cavallo di Mehely_Rhinolophus mehelyi Matschie, 1901","Rhinolophus mehelyi Matschie, 1901",Vulnerabile_Rhinolophidae_Ferro di cavallo di Mehely,5
Vulnerabile_Rhinolophidae_Ferro di cavallo euriale,Ferro di cavallo euriale,Vulnerabile_Rhinolophidae,5
"Vulnerabile_Rhinolophidae_Ferro di cavallo euriale_Rhinolophus euryale Blasius, 1853","Rhinolophus euryale Blasius, 1853",Vulnerabile_Rhinolophidae_Ferro di cavallo euriale,5
Vulnerabile_Rhinolophidae_Ferro di cavallo minore,Ferro di cavallo minore,Vulnerabile_Rhinolophidae,5
"Vulnerabile_Rhinolophidae_Ferro di cavallo minore_Rhinolophus hipposideros (Bechstein, 1800)","Rhinolophus hipposideros (Bechstein, 1800)",Vulnerabile_Rhinolophidae_Ferro di cavallo minore,5
Vulnerabile_Salamandridae,Salamandridae,Vulnerabile_,6
Vulnerabile_Salamandridae_Geotritone di Monte Albo,Geotritone di Monte Albo,Vulnerabile_Salamandridae,4
"Vulnerabile_Salamandridae_Geotritone di Monte Albo_Speleomantes flavus (Stefani, 1969)","Speleomantes flavus (Stefani, 1969)",Vulnerabile_Salamandridae_Geotritone di Monte Albo,4
Vulnerabile_Salamandridae_Salamandra del Lanza,Salamandra del Lanza,Vulnerabile_Salamandridae,2
"Vulnerabile_Salamandridae_Salamandra del Lanza_Salamandra lanzai Nascetti, Capula & Bullini, 1988","Salamandra lanzai Nascetti, Capula & Bullini, 1988",Vulnerabile_Salamandridae_Salamandra del Lanza,2
Vulnerabile_Squatinidae,Squatinidae,Vulnerabile_,1
Vulnerabile_Squatinidae_Squadro,Squadro,Vulnerabile_Squatinidae,1
"Vulnerabile_Squatinidae_Squadro_Squatina squatina (Linnaeus, 1758)","Squatina squatina (Linnaeus, 1758)",Vulnerabile_Squatinidae_Squadro,1
Vulnerabile_Sylviidae,Sylviidae,Vulnerabile_,5
Vulnerabile_Sylviidae_Pagliarolo,Pagliarolo,Vulnerabile_Sylviidae,5
"Vulnerabile_Sylviidae_Pagliarolo_Acrocephalus paludicola Vieillot, 1817","Acrocephalus paludicola Vieillot, 1817",Vulnerabile_Sylviidae_Pagliarolo,5
Vulnerabile_Syngnathidae,Syngnathidae,Vulnerabile_,1
Vulnerabile_Syngnathidae_Cavalluccio marino,Cavalluccio marino,Vulnerabile_Syngnathidae,1
"Vulnerabile_Syngnathidae_Cavalluccio marino_Hippocampus hippocampus (Linnaeus, 1758) ","Hippocampus hippocampus (Linnaeus, 1758) ",Vulnerabile_Syngnathidae_Cavalluccio marino,1
Vulnerabile_Testudinidae,Testudinidae,Vulnerabile_,4
Vulnerabile_Testudinidae_Testuggine greca,Testuggine greca,Vulnerabile_Testudinidae,4
"Vulnerabile_Testudinidae_Testuggine greca_Testudo graeca Linnaeus, 1758","Testudo graeca Linnaeus, 1758",Vulnerabile_Testudinidae_Testuggine greca,4
Vulnerabile_Tettigoniidae,Tettigoniidae,Vulnerabile_,2
Vulnerabile_Tettigoniidae_Saga,Saga,Vulnerabile_Tettigoniidae,2
"Vulnerabile_Tettigoniidae_Saga_Saga pedo (Pallas, 1771)","Saga pedo (Pallas, 1771)",Vulnerabile_Tettigoniidae_Saga,2
Vulnerabile_Vespertilionidae,Vespertilionidae,Vulnerabile_,20
Vulnerabile_Vespertilionidae_Barbastello,Barbastello,Vulnerabile_Vespertilionidae,5
"Vulnerabile_Vespertilionidae_Barbastello_Barbastella barbastellus (Schreber, 1774) ","Barbastella barbastellus (Schreber, 1774) ",Vulnerabile_Vespertilionidae_Barbastello,5
Vulnerabile_Vespertilionidae_Vespertilio di Bechstein,Vespertilio di Bechstein,Vulnerabile_Vespertilionidae,5
"Vulnerabile_Vespertilionidae_Vespertilio di Bechstein_Myotis bechsteini (Leisler in Kuhl, 1818)","Myotis bechsteini (Leisler in Kuhl, 1818)",Vulnerabile_Vespertilionidae_Vespertilio di Bechstein,5
Vulnerabile_Vespertilionidae_Vespertilio di Capaccini,Vespertilio di Capaccini,Vulnerabile_Vespertilionidae,5
"Vulnerabile_Vespertilionidae_Vespertilio di Capaccini_Myotis capaccinii (Bonaparte, 1837)","Myotis capaccinii (Bonaparte, 1837)",Vulnerabile_Vespertilionidae_Vespertilio di Capaccini,5
Vulnerabile_Vespertilionidae_Vespertilio smarginato,Vespertilio smarginato,Vulnerabile_Vespertilionidae,5
"Vulnerabile_Vespertilionidae_Vespertilio smarginato_Myotis emarginatus (Geoffroy E., 1806)","Myotis emarginatus (Geoffroy E., 1806)",Vulnerabile_Vespertilionidae_Vespertilio smarginato,5
