phylum,classe,ordine,famiglia,specie_lat,specie_it,L. 157/92 art. 2,L. 157/92,79/409 CEE Ap.1,79/409 CEE Ap.2/I,79/409 CEE Ap.2/II,79/409 CEE Ap.3/I,79/409 CEE Ap.3/II,BERNA Ap.2,BERNA Ap.3,CITES All. A,CITES All. B,CITES All. D,BONN Ap.1,BONN Ap.2,HABITAT Ap.2,HABITAT Ap.4,HABITAT Ap.5,BARCELLONA all. 2,ENDEMICA,CHECKLIST,IUCN,Valori
Arthropoda,HEXAPODA,COLEOPTERA,Cerambycidae,"Rosalia alpina   * (Linnaeus, 1758)",,,,,,,,,x,,,,,,,x,x,,,,,Vulnerabile,3
Arthropoda,HEXAPODA,COLEOPTERA,Cetoniidae,"Osmoderma eremita   * (Scopoli, 1763)",,,,,,,,,x,,,,,,,x,x,,,,,Vulnerabile,3
Arthropoda,HEXAPODA,COLEOPTERA,Cucujidae,"Cucujus cinnaberinus (Scopoli, 1763)",,,,,,,,,x,,,,,,,x,x,,,,R,None,3
Arthropoda,HEXAPODA,COLEOPTERA,Dytiscidae,"Dytiscus latissimus (Linnaeus, 1758)",,,,,,,,,x,,,,,,,x,x,,,,,Vulnerabile,3
Arthropoda,HEXAPODA,COLEOPTERA,Dytiscidae,"Graphoderus bilineatus (De Geer, 1774)",,,,,,,,,x,,,,,,,x,x,,,,,Vulnerabile,3
Arthropoda,HEXAPODA,COLEOPTERA,Lucanidae,"Lucanus cervus (Linnaeus, 1758)",,,,,,,,,,x,,,,,,x,,,,,,None,2
Arthropoda,HEXAPODA,LEPIDOPTERA,Arctiidae,"Euplagia quadripunctaria   * (Poda, 1761)",,,,,,,,,,,,,,,,x,,,,,,None,1
Arthropoda,HEXAPODA,LEPIDOPTERA,Lasiocampidae,"Eriogaster catax (Linnaeus, 1758)",,,,,,,,,x,,,,,,,x,x,,,,,Dati insufficienti,3
Arthropoda,HEXAPODA,LEPIDOPTERA,Lycaenidae,"Lycaena dispar (Haworth, 1803)",,,,,,,,,x,,,,,,,x,x,,,,M,"A minor rischio, Quasi a rischio",3
Arthropoda,HEXAPODA,LEPIDOPTERA,Lycaenidae,"Maculinea arion (Linnaeus, 1758)  ",,,,,,,,,·,,,,,,,,x,,,,,"A minor rischio, Quasi a rischio",1
Arthropoda,HEXAPODA,LEPIDOPTERA,Lycaenidae,"Maculinea teleius (Bergstrasser, 1779)",,,,,,,,,x,,,,,,,x,x,,,,M,"A minor rischio, Quasi a rischio",3
Arthropoda,HEXAPODA,LEPIDOPTERA,Lycaenidae,"Maculinea teleius (Bergstrasser, 1799)",,,,,,,,,x,,,,,,,x,x,,,,M,"A minor rischio, Quasi a rischio",3
Arthropoda,HEXAPODA,LEPIDOPTERA,Nymphalidae,"Argynnis elisa Godart, 1823",,,,,,,,,x,,,,,,,,x,,,x,,None,3
Arthropoda,HEXAPODA,LEPIDOPTERA,Nymphalidae,"Euphydryas aurinia (Rottemburg,1775)",,,,,,,,,x,,,,,,,x,,,,,,None,2
Arthropoda,HEXAPODA,LEPIDOPTERA,Papilionidae,"Papilio alexanor Esper, 1799",,,,,,,,,x,,,,,,,,x,,,,M,None,2
Arthropoda,HEXAPODA,LEPIDOPTERA,Papilionidae,"Papilio hospiton Géné, 1839",,,,,,,,,x,,x,,,,,x,x,,,x,M,Minacciato,5
Arthropoda,HEXAPODA,LEPIDOPTERA,Papilionidae,"Parnassius apollo (Linnaeus, 1758) ",,,,,,,,,x,,x,,,,,,x,,,,,Vulnerabile,3
Arthropoda,HEXAPODA,LEPIDOPTERA,Papilionidae,"Parnassius mnemosyne (Linnaeus, 1758)  ",,,,,,,,,x,,,,,,,,x,,,,,None,2
Arthropoda,HEXAPODA,LEPIDOPTERA,Papilionidae,"Zerynthia polyxena (Denis & Schiffermuller, 1775)",,,,,,,,,x,,,,,,,,x,,,,,None,2
Arthropoda,HEXAPODA,LEPIDOPTERA,Satyridae,"Coenonympha oedippus (Fabricius, 1787)",,,,,,,,,x,,,,,,,x,x,,,,M,"A minor rischio, Quasi a rischio",3
Arthropoda,HEXAPODA,LEPIDOPTERA,Satyridae,"Erebia calcaria Lorkovic, 1949",,,,,,,,,x,,,,,,,x,x,,,x,,None,4
Arthropoda,HEXAPODA,LEPIDOPTERA,Satyridae,"Erebia christi Ratzer, 1890",,,,,,,,,x,,,,,,,x,x,,,x,M,"A minor rischio, Quasi a rischio",4
Arthropoda,HEXAPODA,LEPIDOPTERA,Satyridae,"Lasiommata achine (Scopoli, 1763)",,,,,,,,,x,,,,,,,,x,,,,,None,2
Arthropoda,HEXAPODA,LEPIDOPTERA,Satyridae,"Melanargia arge (Sulzer, 1776)",,,,,,,,,x,,,,,,,x,x,,,,,None,3
Arthropoda,HEXAPODA,LEPIDOPTERA,Sphingidae,"Hyles hippophaes (Esper, 1793)",,,,,,,,,x,,,,,,,,x,,,,,Dati insufficienti,2
Arthropoda,HEXAPODA,LEPIDOPTERA,Sphingidae,"Prosperinus proserpinus (Pallas, 1772)",,,,,,,,,x,,,,,,,,x,,,,,Dati insufficienti,2
Arthropoda,HEXAPODA,ODONATA,Coenagrionidae,"Coenagrion mercuriale (Charpentier, 1840)",Agrion di Mercurio,,,,,,,,x,,,,,,,x,,,,,,Vulnerabile,2
Arthropoda,HEXAPODA,ODONATA,Cordulegastridae,"Cordulegaster trinacriae Waterston, 1976",,,,,,,,,x,,,,,,,x,x,,,x,M,None,4
Arthropoda,HEXAPODA,ODONATA,Corduliidae,"Oxygastra curtisii (Dale, 1834)",,,,,,,,,x,,,,,,,x,x,,,,M,Vulnerabile,3
Arthropoda,HEXAPODA,ODONATA,Gromphidae,"Gomphus flavipes (Charpentier, 1825) ",,,,,,,,,x,,,,,,,,x,,,,M,None,2
Arthropoda,HEXAPODA,ODONATA,Gromphidae,"Lindenia tetraphylla (Van der Linden, 1825)",,,,,,,,,x,,,,,,,x,x,,,,M,None,3
Arthropoda,HEXAPODA,ODONATA,Gromphidae,"Ophiogomphus cecilia (Fourcroy, 1785)",,,,,,,,,x,,,,,,,x,x,,,,M,None,3
Arthropoda,HEXAPODA,ODONATA,Lestidae,"Sympecma paedisca (Brauer, 1882)",,,,,,,,,x,,,,,,,,,,,,M,None,1
Arthropoda,HEXAPODA,ODONATA,Libellulidae,"Leucorrhinia pectoralis (Charpentier, 1825) ",,,,,,,,,x,,,,,,,x,x,,,,M,None,3
Arthropoda,HEXAPODA,ORTHOPTERA,Tettigoniidae,"Saga pedo (Pallas, 1771)",Saga,,,,,,,,x,,,,,,,,x,,,,M,Vulnerabile,2
Bryozoa,STENOLAEMATA,CYCLOSTOMIDA,Horneridae,Hornera lichenoides,,,,,,,,,,,,,,,,,,,,x,,None,1
Chordata,AGNATHA,PETROMYZONTIFORMES,Petromyzontidae,"Lampetra fluviatilis (Linnaeus, 1758)",Lampreda di fiume,,,,,,,,,x,,,,,,x,,x,,,,"A minor rischio, Quasi a rischio",3
Chordata,AGNATHA,PETROMYZONTIFORMES,Petromyzontidae,"Lampetra planeri (Bloch, 1784)",Lampreda comune,,,,,,,,,x,,,,,,x,,,,,,"A minor rischio, Quasi a rischio",2
Chordata,AGNATHA,PETROMYZONTIFORMES,Petromyzontidae,"Lampetra zanandreai (Vladykov, 1955)",Lampreda padana,,,,,,,,x,,,,,,,x,,x,,,,Minacciato,3
Chordata,AGNATHA,PETROMYZONTIFORMES,Petromyzontidae,"Lethenteron zanandreai (Vladykov, 1955)",Lampreda di ruscello,,,,,,,,x,,,,,,,x,,x,,x,,Minacciato,4
Chordata,AGNATHA,PETROMYZONTIFORMES,Petromyzontidae,"Petromyzon marinus Linnaeus, 1758",Lampreda di mare,,,,,,,,,x,,,,,,x,,,,,,None,2
Chordata,AMPHIBIA,ANURA,Bufonidae,"Bufo bufo (Linnaeus, 1758)",Rospo comune,,,,,,,,,x,,,,,,,,,,,,None,1
Chordata,AMPHIBIA,ANURA,Bufonidae,"Bufo viridis  Laurenti, 1768",Rospo smeraldino,,,,,,,,x,,,,,,,,x,,,,,None,2
Chordata,AMPHIBIA,ANURA,Discoglossidae,"Bombina pachypus (Bonaparte, 1838)",Ululone italiano,,,,,,,,,x,,,,,,,,,,x,,None,2
Chordata,AMPHIBIA,ANURA,Discoglossidae,"Bombina variegata (Linnaeus, 1758)",Ululone dal  ventre giallo,,,,,,,,x,,,,,,,x,x,,,,,None,3
Chordata,AMPHIBIA,ANURA,Discoglossidae,"Discoglossus pictus Otth, 1837",Discoglosso dipinto,,,,,,,,x,,,,,,,,x,,,,,None,2
Chordata,AMPHIBIA,ANURA,Discoglossidae,"Discoglossus sardus Tschudi, 1837",Discoglosso sardo,,,,,,,,x,,,,,,,x,x,,,,,None,3
Chordata,AMPHIBIA,ANURA,Hylidae,"Hyla arborea (Linnaeus, 1758)",Raganella comune,,,,,,,,x,,,,,,,,x,,,,,"A minor rischio, Quasi a rischio",2
Chordata,AMPHIBIA,ANURA,Hylidae,"Hyla intermedia Boulenger, 1882",Raganella italiana,,,,,,,,,x,,,,,,,,,,,,None,1
Chordata,AMPHIBIA,ANURA,Hylidae,"Hyla meridionalis Boettger, 1874",Raganella mediterranea,,,,,,,,x,,,,,,,,x,,,,,None,2
Chordata,AMPHIBIA,ANURA,Hylidae,"Hyla sarda (De Betta, 1853)",Raganella tirrenica,,,,,,,,x,,,,,,,,x,,,,,None,2
Chordata,AMPHIBIA,ANURA,Pelobatidae,"Pelobates fuscus (Laurenti, 1768)",Pelobate fosco,,,,,,,,x,,,,,,,,x,,,,,None,2
Chordata,AMPHIBIA,ANURA,Pelobatidae,"Pelobates fuscus insubricus   * Cornalia, 1873",Pelobate padano,,,,,,,,,x,,,,,,x,,,,x,M,None,3
Chordata,AMPHIBIA,ANURA,Pelodytidae,"Pelodytes punctatus (Daudin, 1802)",Pelodite punteggiato,,,,,,,,,x,,,,,,,,,,,M,None,1
Chordata,AMPHIBIA,ANURA,Ranidae,"Rana arvalis Nilsson, 1758",Rana arvale,,,,,,,,x,,,,,,,,x,,,,,None,2
Chordata,AMPHIBIA,ANURA,Ranidae,"Rana catesbeiana Saw, 1802",Rana toro,,,,,,,,,x,,x,,,,,,,,,,None,2
Chordata,AMPHIBIA,ANURA,Ranidae,"Rana dalmatina Bonaparte, 1840",Rana agile,,,,,,,,x,,,,,,,,x,,,,,None,2
Chordata,AMPHIBIA,ANURA,Ranidae,"Rana italica Dubois, 1987",Rana appenninica,,,,,,,,x,,,,,,,,x,,,x,,None,3
Chordata,AMPHIBIA,ANURA,Ranidae,"Rana latastei Boulenger, 1879",Rana di Lataste,,,,,,,,x,,,,,,,x,x,,,x,M,"A minor rischio, Quasi a rischio",4
Chordata,AMPHIBIA,ANURA,Ranidae,"Rana lessonae Camerano, 1882 ",Rana di Lessona,,,,,,,,,x,,,,,,,x,,,,,None,2
Chordata,AMPHIBIA,ANURA,Ranidae,"Rana perezi Seoane, 1885",Rana di Perez,,,,,,,,,x,,,,,,,,x,,,,None,2
Chordata,AMPHIBIA,ANURA,Ranidae,"Rana ridibunda Pallas, 1771",Rana ridibonda,,,,,,,,,x,,,,,,,,x,,,,None,2
Chordata,AMPHIBIA,ANURA,Ranidae,"Rana temporaria Linnaeus, 1758",Rana temporaria,,,,,,,,,x,,,,,,,,x,,,,None,2
Chordata,AMPHIBIA,URODELA,Plethodontidae,"Speleomantes genei (Temminck & Schlegel, 1838)",Geotritone di Gené,,,,,,,,x,,,,,,,x,x,,,x,,"A minor rischio, Quasi a rischio",4
Chordata,AMPHIBIA,URODELA,Plethodontidae,"Speleomantes imperialis (Stefani, 1969)",Geotritone imperiale,,,,,,,,x,,,,,,,x,x,,,x,,"A minor rischio, Quasi a rischio",4
Chordata,AMPHIBIA,URODELA,Plethodontidae,"Speleomantes italicus (Dunn, 1923)",Geotritone italiano,,,,,,,,x,,,,,,,,x,,,x,,None,3
Chordata,AMPHIBIA,URODELA,Proteidae,"Proteus anguinus Laurenti, 1768",Proteo,,,,,,,,x,,,,,,,x,x,,,,,Vulnerabile,3
Chordata,AMPHIBIA,URODELA,Salamandridae,"Euproctus platycephalus (Gravenhorst, 1829)",Euprotto sardo,,,,,,,,x,,,,,,,,x,,,x,,Gravemente minacciato,3
Chordata,AMPHIBIA,URODELA,Salamandridae,"Salamandra atra aurorae   * Trevisan, 1982",Salamandra alpina di Aurora,,,,,,,,,x,,,,,,x,,,,,,None,2
Chordata,AMPHIBIA,URODELA,Salamandridae,"Salamandra atra Laurenti, 1768",Salamandra alpina,,,,,,,,x,,,,,,,,x,,,,,None,2
Chordata,AMPHIBIA,URODELA,Salamandridae,"Salamandra lanzai Nascetti, Capula & Bullini, 1988",Salamandra del Lanza,,,,,,,,,x,,,,,,,x,,,,,Vulnerabile,2
Chordata,AMPHIBIA,URODELA,Salamandridae,"Salamandra salamandra (Linnaeus, 1758)",Salamandra pezzata,,,,,,,,,x,,,,,,,,,,,,None,1
Chordata,AMPHIBIA,URODELA,Salamandridae,"Salamandrina terdigitata (Lacépède, 1788)",Salamandrina dagli occhiali,,,,,,,,x,,,,,,,x,,,,x,,None,3
Chordata,AMPHIBIA,URODELA,Salamandridae,"Speleomantes ambrosii (Lanza, 1955)",Geotritone di Ambrosi,,,,,,,,,x,,,,,,x,x,,,x,,None,4
Chordata,AMPHIBIA,URODELA,Salamandridae,"Speleomantes flavus (Stefani, 1969)",Geotritone di Monte Albo,,,,,,,,x,,,,,,,x,x,,,x,,Vulnerabile,4
Chordata,AMPHIBIA,URODELA,Salamandridae,"Speleomantes genei (Temminck & Schlegel, 1838)",Geotritone dell'Iglesiente,,,,,,,,x,,,,,,,x,x,,,x,,"A minor rischio, Quasi a rischio",4
Chordata,AMPHIBIA,URODELA,Salamandridae,"Speleomantes imperialis (Stefani, 1969)",Geotritone odoroso,,,,,,,,x,,,,,,,x,x,,,x,,"A minor rischio, Quasi a rischio",4
Chordata,AMPHIBIA,URODELA,Salamandridae,"Speleomantes italicus (Dunn, 1923)",Geotritone italico,,,,,,,,x,,,,,,,,x,,,,,None,2
Chordata,AMPHIBIA,URODELA,Salamandridae,"Speleomantes strinatii (Aellen, 1958) ",Geotritone di Strinati,,,,,,,,,x,,,,,,x,,,,,,None,2
Chordata,AMPHIBIA,URODELA,Salamandridae,"Speleomantes supramonti (Lanza, Nascetti & Bullini, 1986)",Geotritone del Supramonte,,,,,,,,x,,,,,,,x,x,,,,,"A minor rischio, Quasi a rischio",3
Chordata,AMPHIBIA,URODELA,Salamandridae,"Triturus alpestris (Laurenti, 1768)",Tritone alpino,,,,,,,,,x,,,,,,,,,,,,None,1
Chordata,AMPHIBIA,URODELA,Salamandridae,"Triturus carnifex (Laurenti, 1768)",Tritone crestato italiano,,,,,,,,x,,,,,,,x,x,,,,,None,3
Chordata,AMPHIBIA,URODELA,Salamandridae,"Triturus italicus (Peracca, 1898)",Tritone italiano,,,,,,,,x,,,,,,,,x,,,x,,None,3
Chordata,AMPHIBIA,URODELA,Salamandridae,"Triturus vulgaris (Linnaeus, 1758)",Tritone punteggiato,,,,,,,,,x,,,,,,,,,,x,,None,2
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Accipiter brevipes (Severtzov, 1850)",Sparviere levantino,x,,x,,,,,,x,x,,,,x,,,,,,,None,5
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,Accipiter gentilis  arrigonii,Astore ss. di Sardegna e Corsica,x,,x,,,,,,x,,x,,,x,,,,,,,None,5
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Accipiter gentilis (Linnaeus, 1758)",Astore,x,,,,,,,,x,x,,,,x,,,,,,,None,4
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Accipiter nisus (Linnaeus, 1758)",Sparviere,x,,,,,,,,x,x,,,,x,,,,,,,None,4
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Aegypius monachus (Linnaeus, 1766)",Avvoltoio monaco,x,,x,,,,,,x,x,,,,x,,,,,,,"A minor rischio, Quasi a rischio",5
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Aquila chrysaetos (Linnaeus, 1758)",Aquila reale,x,,x,,,,,,x,x,,,,x,,,,,,,None,5
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Aquila clanga Pallas, 1811",Aquila anatraia maggiore,x,,x,,,,,,x,x,,,x,,,,,,,,Vulnerabile,5
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Aquila heliaca Savigny, 1809",Aquila imperiale,x,,x,,,,,,x,x,,,x,,,,,,,,None,5
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Aquila pomarina Brehm C.L.,1831",Aquila anatraia minore,x,,x,,,,,,x,x,,,,x,,,,,,,None,5
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Aquila rapax (Temminck, 1828)",Aquila rapace,x,,,,,,,,x,,x,,,x,,,,,,,None,4
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Buteo buteo (Linnaeus, 1758)",Poiana,x,,,,,,,,x,x,,,,x,,,,,,,None,4
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Buteo lagopus (Pontoppidan, 1763)",Poiana calzata,x,,,,,,,,x,x,,,,x,,,,,,,None,4
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Buteo rufinus (Cretzschmar, 1827)",Poiana codabianca,x,,x,,,,,,x,x,,,,x,,,,,,,None,5
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Circaetus gallicus (Gmelin, 1788)",Biancone,x,,x,,,,,,x,x,,,,x,,,,,,,None,5
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Circus aeruginosus (Linnaeus, 1758) ",Falco di palude,x,,x,,,,,,x,x,,,,x,,,,,,,None,5
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Circus cyaneus (Linnaeus, 1766)",Albanella reale,x,,x,,,,,,x,x,,,,x,,,,,,,None,5
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Circus macrourus (Gmelin, 1771)",Albanella pallida,x,,x,,,,,,x,x,,,,x,,,,,,,None,5
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Circus pygargus (Linnaeus, 1758)",Albanella minore,x,,x,,,,,,x,x,,,,x,,,,,,,None,5
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Elanus caeruleus (Desfontaines, 1789)",Nibbio bianco,x,,x,,,,,,x,x,,,,x,,,,,,,None,5
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Gypaetus barbatus (Linnaeus, 1758)",Gipeto,x,,x,,,,,,x,x,,,,x,,,,,,,None,5
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Gyps fulvus (Hablizl, 1783)",Grifone,x,,x,,,,,,x,x,,,,x,,,,,,,None,5
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Haliaeetus albicilla (Linnaeus, 1758)",Aquila di mare,x,,x,,,,,,x,x,,,x,,,,,,,,None,5
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Hieraaetus fasciatus (Vieillot, 1822)",Aquila del Bonelli,x,,x,,,,,,x,x,,,,x,,,,,,,None,5
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Hieraaetus pennatus (Gmelin, 1788)",Aquila minore,x,,x,,,,,,x,x,,,,x,,,,,,,None,5
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Milvus migrans (Boddaert, 1783)",Nibbio bruno,x,,x,,,,,,x,x,,,,x,,,,,,,None,5
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Milvus milvus (Linnaeus, 1758)",Nibbio reale,x,,x,,,,,,x,x,,,,x,,,,,,,None,5
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Neophron  percnopterus (Linnaeus, 1758)",Capovaccaio,x,,x,,,,,,x,x,,,,x,,,,,,,None,5
Chordata,AVES,ACCIPITRIFORMES,Accipitridae,"Pernis apivorus (Linnaeus, 1758)",Falco pecchiaiolo,x,,x,,,,,,x,x,,,,x,,,,,,,None,5
Chordata,AVES,ACCIPITRIFORMES,Pandionidae,"Pandion haliaetus (Linnaeus, 1758)",Falco pescatore,x,,x,,,,,,x,x,,,,x,,,,,,,None,5
Chordata,AVES,ANSERIFORMES,Anatidae,"Aix  galericulata (Linnaeus, 1758)",Anatra mandarina,,x,,,,,,,x,,,,,x,,,,,,,None,3
Chordata,AVES,ANSERIFORMES,Anatidae,"Anas acuta Linnaeus, 1758",Codone,,,,x,,,x,,x,,,,,x,,,,,,,None,4
Chordata,AVES,ANSERIFORMES,Anatidae,"Anas clypeata Linnaeus, 1758",Mestolone,,,,x,,,x,,x,,,,,x,,,,,,,None,4
Chordata,AVES,ANSERIFORMES,Anatidae,"Anas crecca Linnaeus, 1758",Alzavola,,,,x,,,x,,x,,,,,x,,,,,,,None,4
Chordata,AVES,ANSERIFORMES,Anatidae,"Anas discors Linnaeus, 1766",Marzaiola americana,,x,,,,,,,x,,,,,x,,,,,,,None,3
Chordata,AVES,ANSERIFORMES,Anatidae,"Anas formosa Georgi, 1775",Alzavola asiatica,,x,,,,,,,x,,,,,x,,,,,,,None,3
Chordata,AVES,ANSERIFORMES,Anatidae,"Anas penelope Linnaeus, 1758",Fischione,,,,x,,,x,,x,,,,,x,,,,,,,None,4
Chordata,AVES,ANSERIFORMES,Anatidae,"Anas platyrhynchos Linnaeus, 1758",Germano reale,,,,x,,x,,,x,,,,,x,,,,,,,None,4
Chordata,AVES,ANSERIFORMES,Anatidae,"Anas querquedula Linnaeus, 1758",Marzaiola,,,,x,,,,,x,,,,,x,,,,,,,None,3
Chordata,AVES,ANSERIFORMES,Anatidae,"Anas strepera Linnaeus, 1758",Canapiglia,,,,x,,,,,x,,,,,x,,,,,,,None,3
Chordata,AVES,ANSERIFORMES,Anatidae,"Anser albifrons (Scopoli, 1769)",Oca lombardella,,x,,,x,,x,,x,,,,,x,,,,,,,None,5
Chordata,AVES,ANSERIFORMES,Anatidae,"Anser anser (Linnaeus, 1758)",Oca selvatica,,x,,x,,,x,,x,,,,,x,,,,,,,None,5
Chordata,AVES,ANSERIFORMES,Anatidae,"Anser brachyrhynchus Baillon, 1833",Oca zamperosee,,x,,,x,,,,x,,,,,x,,,,,,,None,4
Chordata,AVES,ANSERIFORMES,Anatidae,"Anser caerulescens (Linnaeus, 1758)",Oca delle nevi,,x,,,,,,,x,,,,,x,,,,,,,None,3
Chordata,AVES,ANSERIFORMES,Anatidae,"Anser erythropus (Linnaeus, 1758)",Oca lombardella minore,,x,x,,,,,x,,,,,x,,,,,,,,None,4
Chordata,AVES,ANSERIFORMES,Anatidae,"Anser fabalis (Latham, 1787)",Oca granaiola,,x,,x,,,,,x,,,,,x,,,,,,,None,4
Chordata,AVES,ANSERIFORMES,Anatidae,"Aythya ferina (Linnaeus, 1758)",Moriglione,,,,x,,,x,,x,,,,,x,,,,,,,None,4
Chordata,AVES,ANSERIFORMES,Anatidae,"Aythya fuligula (Linnaeus, 1758)",Moretta,,,,x,,,x,,x,,,,,x,,,,,,,None,4
Chordata,AVES,ANSERIFORMES,Anatidae,"Aythya marila (Linnaeus, 1761)",Moretta grigia,,x,,,x,,x,,x,,,,,x,,,,,,,None,5
Chordata,AVES,ANSERIFORMES,Anatidae,"Aythya nyroca (Güldenstädt, 1770)",Moretta tabaccata,,x,x,,,,,,x,,,,x,,,,,,,,Vulnerabile,4
Chordata,AVES,ANSERIFORMES,Anatidae,"Branta bernicla (Linnaeus, 1758)",Oca colombaccio,,x,,,x,,,,x,,,,,x,,,,,,,None,4
Chordata,AVES,ANSERIFORMES,Anatidae,"Branta canadensis (Linnaeus, 1758)",Oca del Canada,,x,,x,,,,,x,,,,,x,,,,,,,None,4
Chordata,AVES,ANSERIFORMES,Anatidae,"Branta leucopsis (Bechstein, 1803)",Oca facciabianca,,x,x,,,,,x,,,,,,x,,,,,,,None,4
Chordata,AVES,ANSERIFORMES,Anatidae,"Branta ruficollis (Pallas, 1764)",Oca collorosso,,x,x,,,,,x,,x,,,x,,,,,,,,None,5
Chordata,AVES,ANSERIFORMES,Anatidae,"Bucephala clangula (Linnaeus, 1758)",Quattrocchi,,x,,,x,,,,x,,,,,x,,,,,,,None,4
Chordata,AVES,ANSERIFORMES,Anatidae,"Clangula hyemalis (Linnaeus, 1758)",Moretta codona,,x,,,x,,,,x,,,,,x,,,,,,,None,4
Chordata,AVES,ANSERIFORMES,Anatidae,"Cygnus columbianus (Ord, 1815)",Cigno minore,x,,,,,,,x,,,,,,x,,,,,,,None,3
Chordata,AVES,ANSERIFORMES,Anatidae,"Cygnus cygnus (Linnaeus, 1758)",Cigno selvatico,x,,x,,,,,x,,,,,,x,,,,,,,None,4
