Province,Numero (montagna),Superficie (montagna),Numero (collina),Superficie (collina),Numero (pianura),Superficie (pianura),Numero (totale),Superficie (totale),Anno,Tavola
Valle d'Aosta/Vallée d'Aoste,13,14.208,-,-,-,-,13,14.208,2005,Tavola 2
Lombardia,74,41.151,37,11.694,81,12.893,192,65.738,2005,Tavola 2
Trento,1,244,-,-,-,-,1,244,2005,Tavola 2
Veneto,31,12.850,14,3.048,87,33.839,132,49.737,2005,Tavola 2
Friuli-Venezia Giulia,2,2.488,-,-,6,933,8,3.421,2005,Tavola 2
Liguria,13,18.669,8,4.944,-,-,21,23.613,2005,Tavola 2
Toscana,45,60.498,77,39.659,5,16.917,127,117.074,2005,Tavola 2
Umbria,4,2.310,13,7.530,-,-,17,9.840,2005,Tavola 2
Marche,10,12.185,16,5.928,-,-,26,18.113,2005,Tavola 2
Lazio,10,27.661,17,14.039,3,2.606,30,44.306,2005,Tavola 2
Abruzzo,3,210,9,1.364,-,-,12,1.574,2005,Tavola 2
Molise,3,3.544,10,6.988,-,-,13,10.532,2005,Tavola 2
Campania,1,1.500,6,4.832,2,2.300,9,8.632,2005,Tavola 2
Puglia,-,-,28,57.380,37,21.559,65,78.939,2005,Tavola 2
Basilicata,11,12.202,5,5.553,5,2.915,21,20.670,2005,Tavola 2
Calabria,1,781,2,913,1,15,4,1.709,2005,Tavola 2
Sicilia,2,1.041,14,13.269,5,5.002,21,19.312,2005,Tavola 2
Sardegna,4,10.597,35,47.147,25,33.627,64,91.371,2005,Tavola 2
Piemonte,34,15.431,134,86.063,113,85.272,281,186.766,2005,Tavola 3
Valle d'Aosta/Vallée d'Aoste,-,-,-,-,-,-,-,-,2005,Tavola 3
Lombardia,28,19.435,16,7.643,219,116.229,263,143.307,2005,Tavola 3
Trento,2,261,-,-,-,-,2,261,2005,Tavola 3
Veneto,3,410,56,15.214,187,103.373,246,118.997,2005,Tavola 3
Friuli-Venezia Giulia,1,1.618,-,-,-,-,1,1.618,2005,Tavola 3
Liguria,48,34.860,16,6.939,-,-,64,41.799,2005,Tavola 3
Toscana,13,10.303,149,121.205,10,7.866,172,139.374,2005,Tavola 3
Umbria,6,5.509,48,38.958,-,-,54,44.467,2005,Tavola 3
Marche,11,6.762,92,69.532,-,-,103,76.294,2005,Tavola 3
Lazio,5,5.448,21,19.937,4,3.248,30,28.633,2005,Tavola 3
Abruzzo,5,4.695,35,37.835,-,-,40,42.530,2005,Tavola 3
Molise,14,16.558,12,14.865,-,-,26,31.423,2005,Tavola 3
Campania,15,16.624,10,11.142,2,1.700,27,29.466,2005,Tavola 3
