id,label,parent,value
Chordata_MAMMALIA_INSECTIVORA_Soricidae_Non precisato_Crocidura russula ichnusae,Crocidura russula ichnusae,Chordata_MAMMALIA_INSECTIVORA_Soricidae_Non precisato,3
Chordata_MAMMALIA_INSECTIVORA_Soricidae_Toporagno Non precisatoo,Toporagno Non precisatoo,Chordata_MAMMALIA_INSECTIVORA_Soricidae,2
"Chordata_MAMMALIA_INSECTIVORA_Soricidae_Toporagno Non precisatoo_Sorex minutus  Linnaeus, 1766","Sorex minutus  Linnaeus, 1766",Chordata_MAMMALIA_INSECTIVORA_Soricidae_Toporagno Non precisatoo,2
Chordata_MAMMALIA_INSECTIVORA_Soricidae_Toporagno alpino,Toporagno alpino,Chordata_MAMMALIA_INSECTIVORA_Soricidae,2
"Chordata_MAMMALIA_INSECTIVORA_Soricidae_Toporagno alpino_Sorex alpinus Schinz, 1837","Sorex alpinus Schinz, 1837",Chordata_MAMMALIA_INSECTIVORA_Soricidae_Toporagno alpino,2
Chordata_MAMMALIA_INSECTIVORA_Soricidae_Toporagno appenninico,Toporagno appenninico,Chordata_MAMMALIA_INSECTIVORA_Soricidae,3
"Chordata_MAMMALIA_INSECTIVORA_Soricidae_Toporagno appenninico_Sorex samniticus Altobello, 1926","Sorex samniticus Altobello, 1926",Chordata_MAMMALIA_INSECTIVORA_Soricidae_Toporagno appenninico,3
Chordata_MAMMALIA_INSECTIVORA_Soricidae_Toporagno comune,Toporagno comune,Chordata_MAMMALIA_INSECTIVORA_Soricidae,2
"Chordata_MAMMALIA_INSECTIVORA_Soricidae_Toporagno comune_Sorex araneus  Linnaeus, 1758","Sorex araneus  Linnaeus, 1758",Chordata_MAMMALIA_INSECTIVORA_Soricidae_Toporagno comune,2
Chordata_MAMMALIA_INSECTIVORA_Soricidae_Toporagno d'acqua,Toporagno d'acqua,Chordata_MAMMALIA_INSECTIVORA_Soricidae,2
"Chordata_MAMMALIA_INSECTIVORA_Soricidae_Toporagno d'acqua_Neomys fodiens (Pennant, 1771)","Neomys fodiens (Pennant, 1771)",Chordata_MAMMALIA_INSECTIVORA_Soricidae_Toporagno d'acqua,2
Chordata_MAMMALIA_INSECTIVORA_Soricidae_Toporagno d'acqua di Miller,Toporagno d'acqua di Miller,Chordata_MAMMALIA_INSECTIVORA_Soricidae,2
